path|original_file|language|is_original_language|duration|training_data|model_name|architecture|transcript|speaker_similarity
./fake/en/MegaTTS3/piratesofersatz_08_leinster_64kb_f000136.wav|en_US/by_book/male/elliot_miller/pirates_of_ersatz/wavs/piratesofersatz_08_leinster_64kb_f000136.wav|en|True|10.000|unknown|MegaTTS3|MegaTTS3|He could see only a very small fraction of the planet's surface. He had to hunt before he found the capital city again. Then it was very clear.|-
./fake/en/MegaTTS3/northandsouth_08_f000182.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_08_f000182.wav|en|True|5.440|unknown|MegaTTS3|MegaTTS3|Margaret was surprised at this last question, for at Helstone it would have been an understood thing,|-
./fake/en/MegaTTS3/wives_and_daughters_10_f000220.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_10_f000220.wav|en|True|7.760|unknown|MegaTTS3|MegaTTS3|in such tones of uncomforted, lonely misery, he turned back, and went to the green tent under the ash-tree.|-
./fake/en/MegaTTS3/pink_fairy_book_26_f000111.wav|en_US/by_book/male/elliot_miller/pink_fairy_book/wavs/pink_fairy_book_26_f000111.wav|en|True|17.760|unknown|MegaTTS3|MegaTTS3|And when he had it safe he made her stoop down and smear it over his brothers face, taking care all the while never to loose her hair, and when the dead man opened his eyes the youth drew his sword and cut off her head with a single blow.|-
./fake/en/MegaTTS3/northandsouth_26_f000014.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_26_f000014.wav|en|True|4.480|unknown|MegaTTS3|MegaTTS3|even as he shaped the words expressive of hatred.|-
./fake/en/MegaTTS3/the_sea_fairies_05_f000017.wav|en_US/by_book/female/judy_bieber/the_sea_fairies/wavs/the_sea_fairies_05_f000017.wav|en|True|11.360|unknown|MegaTTS3|MegaTTS3|The Princess Clia swam slowly to one of the walls of the throne room where, at a wave of her hand, a round hole appeared in the coral.|-
./fake/en/MegaTTS3/skyisland_11_baum_64kb_f000054.wav|en_US/by_book/female/judy_bieber/sky_island/wavs/skyisland_11_baum_64kb_f000054.wav|en|True|12.640|unknown|MegaTTS3|MegaTTS3|As fer po'try, said he, that's as how you look at po'try. Rhymes come from your head, but real po'try from your heart, and whether the blue parrot has a heart or not, he's sure got a head.|-
./fake/en/MegaTTS3/silent_bullet_13_f000170.wav|en_US/by_book/male/elliot_miller/silent_bullet/wavs/silent_bullet_13_f000170.wav|en|True|14.640|unknown|MegaTTS3|MegaTTS3|So if seventeen had come up five times to-night, it would be just as likely to come the sixth as if the previous five had not occurred,|-
./fake/en/MegaTTS3/piratesofersatz_11_leinster_64kb_f000148.wav|en_US/by_book/male/elliot_miller/pirates_of_ersatz/wavs/piratesofersatz_11_leinster_64kb_f000148.wav|en|True|7.040|unknown|MegaTTS3|MegaTTS3|Hoddan went sick with apprehension. He groaned as the something inside the stateroom sobbed and yielded.|-
./fake/en/MegaTTS3/skyisland_23_baum_64kb_f000022.wav|en_US/by_book/female/judy_bieber/sky_island/wavs/skyisland_23_baum_64kb_f000022.wav|en|True|8.480|unknown|MegaTTS3|MegaTTS3|The sailorman did not seem to be in any of the rooms she entered, so she decided to visit the Boolooroo's own apartments.|-
