path|original_file|language|is_original_language|duration|training_data|model_name|architecture|transcript|reference_speaker|speaker_similarity
./fake/en/Llasa-8B/the_sea_fairies_20_f000145.wav|en_US/by_book/female/judy_bieber/the_sea_fairies/wavs/the_sea_fairies_20_f000145.wav|en|True|3.64|['multi-dataset']|Llasa-8B|Llasa|By the law of the ocean, you must obey me in everything.|en_US/by_book/female/judy_bieber/the_master_key/wavs/the_master_key_04_f000092.wav|0.3658
./fake/en/Llasa-8B/northandsouth_38_f000087.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_38_f000087.wav|en|True|7.7|['multi-dataset']|Llasa-8B|Llasa|I know that something is wrong; some dread, must be a terrible torture to her.|en_US/by_book/female/judy_bieber/sky_island/wavs/skyisland_12_baum_64kb_f000071.wav|0.2034
./fake/en/Llasa-8B/jane_eyre_04_f000078.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_04_f000078.wav|en|True|8.78|['multi-dataset']|Llasa-8B|Llasa|Having spread the quilt and folded my night-dress, I went to the window-seat to put in order some picture-books and doll's house furniture scattered there;|en_US/by_book/female/judy_bieber/the_sea_fairies/wavs/the_sea_fairies_17_f000091.wav|0.2107
./fake/en/Llasa-8B/poisoned_pen_02_f000207.wav|en_US/by_book/male/elliot_miller/poisoned_pen/wavs/poisoned_pen_02_f000207.wav|en|True|14.4|['multi-dataset']|Llasa-8B|Llasa|I saw Delarue after the performance last night, went on Kennedy inexorably. I was not seen, but I saw, and he was with - She was pacing the room now in unsuppressed excitement.|en_US/by_book/male/elliot_miller/silent_bullet/wavs/silent_bullet_10_f000253.wav|0.6004
./fake/en/Llasa-8B/wives_and_daughters_44_f000169.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_44_f000169.wav|en|True|6.94|['multi-dataset']|Llasa-8B|Llasa|Before she was out of hearing, she heard Mister Sheepshanks say, Sorry to have disturbed your tete-a-tete,|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_15_f000106.wav|0.1969
./fake/en/Llasa-8B/pink_fairy_book_13_f000019.wav|en_US/by_book/male/elliot_miller/pink_fairy_book/wavs/pink_fairy_book_13_f000019.wav|en|True|8.74|['multi-dataset']|Llasa-8B|Llasa|there were splendid masts on the ships.|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_41_f000119.wav|0.0559
./fake/en/Llasa-8B/piratesofersatz_06_leinster_64kb_f000200.wav|en_US/by_book/male/elliot_miller/pirates_of_ersatz/wavs/piratesofersatz_06_leinster_64kb_f000200.wav|en|True|8.94|['multi-dataset']|Llasa-8B|Llasa|He hoped his orbit was lower than theirs. If it was, he'd overtake them from behind. If he were higher, they'd overtake him.|en_US/by_book/male/elliot_miller/silent_bullet/wavs/silent_bullet_06_f000275.wav|-0.1527
./fake/en/Llasa-8B/emerald_city_of_oz_15_f000038.wav|en_US/by_book/female/judy_bieber/emerald_city_of_oz/wavs/emerald_city_of_oz_15_f000038.wav|en|True|4.32|['multi-dataset']|Llasa-8B|Llasa|What! exclaimed the zebra, in astonishment; do I hear you aright?|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_29_f000053.wav|0.0064
./fake/en/Llasa-8B/dorothy_and_wizard_oz_08_f000054.wav|en_US/by_book/female/judy_bieber/dorothy_and_wizard_oz/wavs/dorothy_and_wizard_oz_08_f000054.wav|en|True|9.56|['multi-dataset']|Llasa-8B|Llasa|The travellers now resumed their walk toward the cottage, which they presently reached. It was a pretty place, with vines growing thickly over the broad front porch.|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_19_f000087.wav|0.2837
./fake/en/Llasa-8B/jane_eyre_36_f000098.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_36_f000098.wav|en|True|12.8|['multi-dataset']|Llasa-8B|Llasa|No need to listen for doors opening - to fancy steps on the pavement or the gravel-walk! The lawn, the grounds were trodden and waste: the portal yawned void.|en_US/by_book/female/judy_bieber/ozma_of_oz/wavs/ozma_of_oz_18_f000018.wav|0.3201
